予想ID,開催回,検証日,使用モデル,予想番号,実際の当選番号,ボーナス数字,本数字一致数,的中率,ボーナス一致,勝率,期待値,等級判定,近接一致数,合計値差,奇数偶数差,高低差,外れた数字の差分,奇数偶数バランスのズレ,高低バランスのズレ,合計値のズレ,連番の有無,下一桁の偏り,ペア一致,的中要因,有効条件,足りなかった条件,過剰だった条件,モデル貢献度詳細,前回数字との重複数,31超え数字の有無,3連続除外チェック,改善メモ,失敗要因,逆算分析,改善案,次回の仮説,総一致数,balance_score,balance_grade,balance_result_class,balance_reasons,balance_warnings,balance_details_json,balance_not_evaluated,balance_weights_version
2116-20260629-AI-2,2116,2026/07/02,AI改善反映予測,03-08-21-28-36-43,02-06-13-14-20-42,10,0,0.0,なし,0.0,0.0,該当なし,4,-42,-2,2,03->02(-1) / 08->06(-2) / 21->20(-1) / 28->20(-8) / 36->42(+6) / 43->42(-1),予想 3:3 / 実際 1:5,予想 低3:高3 / 実際 低5:高1,-42,予想0組 / 実際1組,予想: 3が2個 / 8が2個 / 実際: 2が2個,0,一致数字なし。的中要因は次回検証対象として保留。,有効条件なし,連番+1 / 4・9・13候補+1,32以上-1 / 奇数-2 / 同末尾-1 / 合計値-42,03:外れ:ホットナンバー分析・連番分析・下一桁分析・ベイズ推定・AI改善反映予測 / 08:外れ:ホットナンバー分析・高低分析・下一桁分析・ペア分析・トリプル分析・ベイズ推定・モンテカルロシミュレーション・機械学習モデル・AI改善反映予測 / 21:外れ:出現頻度分析・ホットナンバー分析・奇数偶数分析・合計値分析・マルコフ連鎖・ベイズ推定・モンテカルロシミュレーション・機械学習モデル・AI改善反映予測 / 28:外れ:ホットナンバー分析・合計値分析・連番分析・下一桁分析・ペア分析・トリプル分析・ボーナス数字分析・マルコフ連鎖・ベイズ推定・機械学習モデル・ランダム予測モデル・AI改善反映予測 / 36:外れ:ホットナンバー分析・高低分析・連番分析・下一桁分析・ペア分析・トリプル分析・マルコフ連鎖・ベイズ推定・モンテカルロシミュレーション・機械学習モデル・AI改善反映予測 / 43:外れ:ホットナンバー分析・奇数偶数分析・高低分析・連番分析・下一桁分析・ペア分析・トリプル分析・ボーナス数字分析・ベイズ推定・モンテカルロシミュレーション・機械学習モデル・AI改善反映予測,,,,,中心候補と実際の当選数字の重なりが少ない / 合計値のレンジが実際と離れた / 奇数偶数バランスが実際とずれた / 高低バランスが実際とずれた / 連番パターンを合わせきれなかった,残す候補: なし / 入れ替え候補: 03-08-21-28-36-43 / 近づける追加候補: 02-06-13-14-20-42,合計値の目標帯を42程度下げる検証する / 奇数偶数を偶数寄りに1枠調整する仮説を試す / 高低バランスを低数字寄りに寄せる / 連番を完全には除外せず、1組を許容する条件を比較する,一致数字(なし)の周辺±2を候補群として観察し、合計97前後・奇数1個・低数字5個を次回比較軸にする,,,,,,,,,
2116-20260629-AI-3,2116,2026/07/02,AI改善反映予測,01-05-08-38-42-43,02-06-13-14-20-42,10,1,16.7,なし,0.0,0.167,該当なし,2,-40,-2,2,01->02(+1) / 05->06(+1) / 08->06(-2) / 38->20(-18) / 43->20(-23),予想 3:3 / 実際 1:5,予想 低3:高3 / 実際 低5:高1,-40,予想1組 / 実際1組,予想: 8が2個 / 実際: 2が2個,0,42 -> 出現頻度分析由来,出現頻度分析 / ホットナンバー分析 / 高低分析 / トリプル分析 / マルコフ連鎖,4・9・13候補+1,32以上-2 / 奇数-2 / 合計値-40,01:外れ:ホットナンバー分析・奇数偶数分析・連番分析・ベイズ推定・モンテカルロシミュレーション・AI改善反映予測 / 05:外れ:ホットナンバー分析・奇数偶数分析・連番分析・トリプル分析・ベイズ推定・モンテカルロシミュレーション・AI改善反映予測 / 08:外れ:ホットナンバー分析・高低分析・下一桁分析・ペア分析・トリプル分析・ベイズ推定・モンテカルロシミュレーション・機械学習モデル・AI改善反映予測 / 38:外れ:出現頻度分析・高低分析・連番分析・下一桁分析・マルコフ連鎖・モンテカルロシミュレーション・ランダム予測モデル・AI改善反映予測 / 42:的中:出現頻度分析・ホットナンバー分析・高低分析・トリプル分析・マルコフ連鎖・ベイズ推定・モンテカルロシミュレーション・機械学習モデル・AI改善反映予測 / 43:外れ:ホットナンバー分析・奇数偶数分析・高低分析・連番分析・下一桁分析・ペア分析・トリプル分析・ボーナス数字分析・ベイズ推定・モンテカルロシミュレーション・機械学習モデル・AI改善反映予測,,,,,中心候補と実際の当選数字の重なりが少ない / 合計値のレンジが実際と離れた / 奇数偶数バランスが実際とずれた / 高低バランスが実際とずれた,残す候補: 42 / 入れ替え候補: 01-05-08-38-43 / 近づける追加候補: 02-06-13-14-20,合計値の目標帯を40程度下げる検証する / 奇数偶数を偶数寄りに1枠調整する仮説を試す / 高低バランスを低数字寄りに寄せる,一致数字(42)の周辺±2を候補群として観察し、合計97前後・奇数1個・低数字5個を次回比較軸にする,,,,,,,,,
2116-20260629-markov_chain-1,2116,2026/07/02,マルコフ連鎖,01-08-21-28-36-43,02-06-13-14-20-42,10,0,0.0,なし,0.0,0.0,該当なし,4,-40,-2,2,01->02(+1) / 08->06(-2) / 21->20(-1) / 28->20(-8) / 36->42(+6) / 43->42(-1),予想 3:3 / 実際 1:5,予想 低3:高3 / 実際 低5:高1,-40,予想0組 / 実際1組,予想: 1が2個 / 8が2個 / 実際: 2が2個,0,一致数字なし。的中要因は次回検証対象として保留。,有効条件なし,連番+1 / 4・9・13候補+1,32以上-1 / 奇数-2 / 同末尾-1 / 合計値-40,01:外れ:ホットナンバー分析・奇数偶数分析・連番分析・ベイズ推定・モンテカルロシミュレーション・マルコフ連鎖 / 08:外れ:ホットナンバー分析・高低分析・下一桁分析・ペア分析・トリプル分析・ベイズ推定・モンテカルロシミュレーション・機械学習モデル・マルコフ連鎖 / 21:外れ:出現頻度分析・ホットナンバー分析・奇数偶数分析・合計値分析・マルコフ連鎖・ベイズ推定・モンテカルロシミュレーション・機械学習モデル / 28:外れ:ホットナンバー分析・合計値分析・連番分析・下一桁分析・ペア分析・トリプル分析・ボーナス数字分析・マルコフ連鎖・ベイズ推定・機械学習モデル・ランダム予測モデル / 36:外れ:ホットナンバー分析・高低分析・連番分析・下一桁分析・ペア分析・トリプル分析・マルコフ連鎖・ベイズ推定・モンテカルロシミュレーション・機械学習モデル / 43:外れ:ホットナンバー分析・奇数偶数分析・高低分析・連番分析・下一桁分析・ペア分析・トリプル分析・ボーナス数字分析・ベイズ推定・モンテカルロシミュレーション・機械学習モデル・マルコフ連鎖,,,,,中心候補と実際の当選数字の重なりが少ない / 合計値のレンジが実際と離れた / 奇数偶数バランスが実際とずれた / 高低バランスが実際とずれた / 連番パターンを合わせきれなかった,残す候補: なし / 入れ替え候補: 01-08-21-28-36-43 / 近づける追加候補: 02-06-13-14-20-42,合計値の目標帯を40程度下げる検証する / 奇数偶数を偶数寄りに1枠調整する仮説を試す / 高低バランスを低数字寄りに寄せる / 連番を完全には除外せず、1組を許容する条件を比較する,一致数字(なし)の周辺±2を候補群として観察し、合計97前後・奇数1個・低数字5個を次回比較軸にする,,,,,,,,,
2116-20260629-markov_chain-2,2116,2026/07/02,マルコフ連鎖,05-08-18-21-36-42,02-06-13-14-20-42,10,1,16.7,なし,0.0,0.167,該当なし,2,-33,-1,1,05->06(+1) / 08->06(-2) / 18->20(+2) / 21->20(-1) / 36->20(-16),予想 2:4 / 実際 1:5,予想 低4:高2 / 実際 低5:高1,-33,予想0組 / 実際1組,予想: 8が2個 / 実際: 2が2個,0,42 -> 出現頻度分析由来,出現頻度分析 / ホットナンバー分析 / 高低分析 / トリプル分析 / マルコフ連鎖,連番+1 / 4・9・13候補+1,32以上-1 / 奇数-1 / 合計値-33,05:外れ:ホットナンバー分析・奇数偶数分析・連番分析・トリプル分析・ベイズ推定・モンテカルロシミュレーション・マルコフ連鎖 / 08:外れ:ホットナンバー分析・高低分析・下一桁分析・ペア分析・トリプル分析・ベイズ推定・モンテカルロシミュレーション・機械学習モデル・マルコフ連鎖 / 18:外れ:ホットナンバー分析・合計値分析・連番分析・下一桁分析・ペア分析・トリプル分析・ベイズ推定・モンテカルロシミュレーション・機械学習モデル・ランダム予測モデル・マルコフ連鎖 / 21:外れ:出現頻度分析・ホットナンバー分析・奇数偶数分析・合計値分析・マルコフ連鎖・ベイズ推定・モンテカルロシミュレーション・機械学習モデル / 36:外れ:ホットナンバー分析・高低分析・連番分析・下一桁分析・ペア分析・トリプル分析・マルコフ連鎖・ベイズ推定・モンテカルロシミュレーション・機械学習モデル / 42:的中:出現頻度分析・ホットナンバー分析・高低分析・トリプル分析・マルコフ連鎖・ベイズ推定・モンテカルロシミュレーション・機械学習モデル,,,,,中心候補と実際の当選数字の重なりが少ない / 合計値のレンジが実際と離れた / 連番パターンを合わせきれなかった,残す候補: 42 / 入れ替え候補: 05-08-18-21-36 / 近づける追加候補: 02-06-13-14-20,合計値の目標帯を33程度下げる検証する / 奇数偶数を偶数寄りに1枠調整する仮説を試す / 高低バランスを低数字寄りに寄せる / 連番を完全には除外せず、1組を許容する条件を比較する,一致数字(42)の周辺±2を候補群として観察し、合計97前後・奇数1個・低数字5個を次回比較軸にする,,,,,,,,,
2116-20260629-markov_chain-3,2116,2026/07/02,マルコフ連鎖,03-06-08-36-38-43,02-06-13-14-20-42,10,1,16.7,なし,0.0,0.167,該当なし,2,-37,-1,2,03->02(-1) / 08->13(+5) / 36->42(+6) / 38->42(+4) / 43->42(-1),予想 2:4 / 実際 1:5,予想 低3:高3 / 実際 低5:高1,-37,予想0組 / 実際1組,予想: 3が2個 / 6が2個 / 8が2個 / 実際: 2が2個,0,06 -> 出現頻度分析由来,出現頻度分析 / コールドナンバー分析 / 下一桁分析 / ペア分析 / トリプル分析,連番+1 / 4・9・13候補+1,32以上-2 / 奇数-1 / 同末尾-2 / 合計値-37,03:外れ:ホットナンバー分析・連番分析・下一桁分析・ベイズ推定・マルコフ連鎖 / 06:的中:出現頻度分析・コールドナンバー分析・下一桁分析・ペア分析・トリプル分析・ボーナス数字分析・マルコフ連鎖・モンテカルロシミュレーション・機械学習モデル / 08:外れ:ホットナンバー分析・高低分析・下一桁分析・ペア分析・トリプル分析・ベイズ推定・モンテカルロシミュレーション・機械学習モデル・マルコフ連鎖 / 36:外れ:ホットナンバー分析・高低分析・連番分析・下一桁分析・ペア分析・トリプル分析・マルコフ連鎖・ベイズ推定・モンテカルロシミュレーション・機械学習モデル / 38:外れ:出現頻度分析・高低分析・連番分析・下一桁分析・マルコフ連鎖・モンテカルロシミュレーション・ランダム予測モデル / 43:外れ:ホットナンバー分析・奇数偶数分析・高低分析・連番分析・下一桁分析・ペア分析・トリプル分析・ボーナス数字分析・ベイズ推定・モンテカルロシミュレーション・機械学習モデル・マルコフ連鎖,,,,,中心候補と実際の当選数字の重なりが少ない / 合計値のレンジが実際と離れた / 高低バランスが実際とずれた / 連番パターンを合わせきれなかった,残す候補: 06 / 入れ替え候補: 03-08-36-38-43 / 近づける追加候補: 02-13-14-20-42,合計値の目標帯を37程度下げる検証する / 奇数偶数を偶数寄りに1枠調整する仮説を試す / 高低バランスを低数字寄りに寄せる / 連番を完全には除外せず、1組を許容する条件を比較する,一致数字(06)の周辺±2を候補群として観察し、合計97前後・奇数1個・低数字5個を次回比較軸にする,,,,,,,,,
2116-20260629-next_score_prediction-1,2116,2026/07/02,候補スコア活用予測,05-08-18-27-36-43,02-06-13-14-20-42,10,0,0.0,なし,0.0,0.0,該当なし,3,-40,-2,2,05->06(+1) / 08->06(-2) / 18->20(+2) / 27->20(-7) / 36->42(+6) / 43->42(-1),予想 3:3 / 実際 1:5,予想 低3:高3 / 実際 低5:高1,-40,予想0組 / 実際1組,予想: 8が2個 / 実際: 2が2個,0,一致数字なし。的中要因は次回検証対象として保留。,有効条件なし,連番+1 / 4・9・13候補+1,32以上-1 / 奇数-2 / 合計値-40,05:外れ:ホットナンバー分析・奇数偶数分析・連番分析・トリプル分析・ベイズ推定・モンテカルロシミュレーション・候補スコア活用予測 / 08:外れ:ホットナンバー分析・高低分析・下一桁分析・ペア分析・トリプル分析・ベイズ推定・モンテカルロシミュレーション・機械学習モデル・候補スコア活用予測 / 18:外れ:ホットナンバー分析・合計値分析・連番分析・下一桁分析・ペア分析・トリプル分析・ベイズ推定・モンテカルロシミュレーション・機械学習モデル・ランダム予測モデル・候補スコア活用予測 / 27:外れ:出現頻度分析・ホットナンバー分析・奇数偶数分析・合計値分析・連番分析・ペア分析・ボーナス数字分析・ベイズ推定・機械学習モデル・ランダム予測モデル・候補スコア活用予測 / 36:外れ:ホットナンバー分析・高低分析・連番分析・下一桁分析・ペア分析・トリプル分析・マルコフ連鎖・ベイズ推定・モンテカルロシミュレーション・機械学習モデル・候補スコア活用予測 / 43:外れ:ホットナンバー分析・奇数偶数分析・高低分析・連番分析・下一桁分析・ペア分析・トリプル分析・ボーナス数字分析・ベイズ推定・モンテカルロシミュレーション・機械学習モデル・候補スコア活用予測,,,,,中心候補と実際の当選数字の重なりが少ない / 合計値のレンジが実際と離れた / 奇数偶数バランスが実際とずれた / 高低バランスが実際とずれた / 連番パターンを合わせきれなかった,残す候補: なし / 入れ替え候補: 05-08-18-27-36-43 / 近づける追加候補: 02-06-13-14-20-42,合計値の目標帯を40程度下げる検証する / 奇数偶数を偶数寄りに1枠調整する仮説を試す / 高低バランスを低数字寄りに寄せる / 連番を完全には除外せず、1組を許容する条件を比較する,一致数字(なし)の周辺±2を候補群として観察し、合計97前後・奇数1個・低数字5個を次回比較軸にする,,,,,,,,,
2116-20260629-next_score_prediction-2,2116,2026/07/02,候補スコア活用予測,03-08-21-28-36-43,02-06-13-14-20-42,10,0,0.0,なし,0.0,0.0,該当なし,4,-42,-2,2,03->02(-1) / 08->06(-2) / 21->20(-1) / 28->20(-8) / 36->42(+6) / 43->42(-1),予想 3:3 / 実際 1:5,予想 低3:高3 / 実際 低5:高1,-42,予想0組 / 実際1組,予想: 3が2個 / 8が2個 / 実際: 2が2個,0,一致数字なし。的中要因は次回検証対象として保留。,有効条件なし,連番+1 / 4・9・13候補+1,32以上-1 / 奇数-2 / 同末尾-1 / 合計値-42,03:外れ:ホットナンバー分析・連番分析・下一桁分析・ベイズ推定・候補スコア活用予測 / 08:外れ:ホットナンバー分析・高低分析・下一桁分析・ペア分析・トリプル分析・ベイズ推定・モンテカルロシミュレーション・機械学習モデル・候補スコア活用予測 / 21:外れ:出現頻度分析・ホットナンバー分析・奇数偶数分析・合計値分析・マルコフ連鎖・ベイズ推定・モンテカルロシミュレーション・機械学習モデル・候補スコア活用予測 / 28:外れ:ホットナンバー分析・合計値分析・連番分析・下一桁分析・ペア分析・トリプル分析・ボーナス数字分析・マルコフ連鎖・ベイズ推定・機械学習モデル・ランダム予測モデル・候補スコア活用予測 / 36:外れ:ホットナンバー分析・高低分析・連番分析・下一桁分析・ペア分析・トリプル分析・マルコフ連鎖・ベイズ推定・モンテカルロシミュレーション・機械学習モデル・候補スコア活用予測 / 43:外れ:ホットナンバー分析・奇数偶数分析・高低分析・連番分析・下一桁分析・ペア分析・トリプル分析・ボーナス数字分析・ベイズ推定・モンテカルロシミュレーション・機械学習モデル・候補スコア活用予測,,,,,中心候補と実際の当選数字の重なりが少ない / 合計値のレンジが実際と離れた / 奇数偶数バランスが実際とずれた / 高低バランスが実際とずれた / 連番パターンを合わせきれなかった,残す候補: なし / 入れ替え候補: 03-08-21-28-36-43 / 近づける追加候補: 02-06-13-14-20-42,合計値の目標帯を42程度下げる検証する / 奇数偶数を偶数寄りに1枠調整する仮説を試す / 高低バランスを低数字寄りに寄せる / 連番を完全には除外せず、1組を許容する条件を比較する,一致数字(なし)の周辺±2を候補群として観察し、合計97前後・奇数1個・低数字5個を次回比較軸にする,,,,,,,,,
2116-20260629-next_score_prediction-3,2116,2026/07/02,候補スコア活用予測,01-05-08-38-42-43,02-06-13-14-20-42,10,1,16.7,なし,0.0,0.167,該当なし,2,-40,-2,2,01->02(+1) / 05->06(+1) / 08->06(-2) / 38->20(-18) / 43->20(-23),予想 3:3 / 実際 1:5,予想 低3:高3 / 実際 低5:高1,-40,予想1組 / 実際1組,予想: 8が2個 / 実際: 2が2個,0,42 -> 出現頻度分析由来,出現頻度分析 / ホットナンバー分析 / 高低分析 / トリプル分析 / マルコフ連鎖,4・9・13候補+1,32以上-2 / 奇数-2 / 合計値-40,01:外れ:ホットナンバー分析・奇数偶数分析・連番分析・ベイズ推定・モンテカルロシミュレーション・候補スコア活用予測 / 05:外れ:ホットナンバー分析・奇数偶数分析・連番分析・トリプル分析・ベイズ推定・モンテカルロシミュレーション・候補スコア活用予測 / 08:外れ:ホットナンバー分析・高低分析・下一桁分析・ペア分析・トリプル分析・ベイズ推定・モンテカルロシミュレーション・機械学習モデル・候補スコア活用予測 / 38:外れ:出現頻度分析・高低分析・連番分析・下一桁分析・マルコフ連鎖・モンテカルロシミュレーション・ランダム予測モデル・候補スコア活用予測 / 42:的中:出現頻度分析・ホットナンバー分析・高低分析・トリプル分析・マルコフ連鎖・ベイズ推定・モンテカルロシミュレーション・機械学習モデル・候補スコア活用予測 / 43:外れ:ホットナンバー分析・奇数偶数分析・高低分析・連番分析・下一桁分析・ペア分析・トリプル分析・ボーナス数字分析・ベイズ推定・モンテカルロシミュレーション・機械学習モデル・候補スコア活用予測,,,,,中心候補と実際の当選数字の重なりが少ない / 合計値のレンジが実際と離れた / 奇数偶数バランスが実際とずれた / 高低バランスが実際とずれた,残す候補: 42 / 入れ替え候補: 01-05-08-38-43 / 近づける追加候補: 02-06-13-14-20,合計値の目標帯を40程度下げる検証する / 奇数偶数を偶数寄りに1枠調整する仮説を試す / 高低バランスを低数字寄りに寄せる,一致数字(42)の周辺±2を候補群として観察し、合計97前後・奇数1個・低数字5個を次回比較軸にする,,,,,,,,,
2117-20260702-AI-1,2117,2026/07/11,AI改善反映予測,10-15-19-22-26-39,04-07-26-27-35-41,34,1,16.7,なし,0.0,0.167,該当なし,1,9,1,-1,10->07(-3) / 15->07(-8) / 19->27(+8) / 22->27(+5) / 39->41(+2),予想 3:3 / 実際 4:2,予想 低3:高3 / 実際 低2:高4,9,予想0組 / 実際1組,予想: 9が2個 / 実際: 7が2個,0,26 -> 出現頻度分析由来,出現頻度分析 / コールドナンバー分析 / 奇数偶数分析 / 合計値分析 / 下一桁分析,32以上+1 / 奇数+1 / 連番+1 / 4・9・13候補+1,大きな過剰条件なし,10:外れ:出現頻度分析・コールドナンバー分析・奇数偶数分析・トリプル分析・ボーナス数字分析・マルコフ連鎖・AI改善反映予測 / 15:外れ:コールドナンバー分析・合計値分析・ペア分析・マルコフ連鎖・AI改善反映予測 / 19:外れ:出現頻度分析・コールドナンバー分析・合計値分析・マルコフ連鎖・AI改善反映予測 / 22:外れ:コールドナンバー分析・奇数偶数分析・合計値分析・ランダム予測モデル・AI改善反映予測 / 26:的中:出現頻度分析・コールドナンバー分析・奇数偶数分析・合計値分析・下一桁分析・ペア分析・ボーナス数字分析・AI改善反映予測 / 39:外れ:コールドナンバー分析・高低分析・連番分析・マルコフ連鎖・人と被りにくい期待値最大化モデル・バランス仮説エンジン・AI改善反映予測,0.0,あり,OK,当選確率そのものを上げる目的ではなく、当選時に他人と数字が被りにくく、賞金分配リスクを下げる可能性を研究する補助モデル。,中心候補と実際の当選数字の重なりが少ない / 連番パターンを合わせきれなかった,残す候補: 26 / 入れ替え候補: 10-15-19-22-39 / 近づける追加候補: 04-07-27-35-41,奇数偶数を奇数寄りに1枠調整する仮説を試す / 高低バランスを高数字寄りに寄せる / 連番を完全には除外せず、1組を許容する条件を比較する,一致数字(26)の周辺±2を候補群として観察し、合計140前後・奇数4個・低数字2個を次回比較軸にする,1.0,,not_evaluated,not_evaluated,,,"{""balance_score"": """", ""balance_grade"": ""not_evaluated"", ""balance_reasons"": [], ""balance_warnings"": [], ""balance_not_evaluated"": true, ""balance_weights_version"": ""balance_hypothesis_v1""}",1,balance_hypothesis_v1
2117-20260702-AI-2,2117,2026/07/11,AI改善反映予測,10-15-21-24-30-39,04-07-26-27-35-41,34,0,0.0,なし,0.0,0.0,該当なし,2,1,1,-1,10->07(-3) / 15->07(-8) / 21->26(+5) / 24->26(+2) / 30->27(-3) / 39->41(+2),予想 3:3 / 実際 4:2,予想 低3:高3 / 実際 低2:高4,1,予想0組 / 実際1組,予想: 0が2個 / 実際: 7が2個,0,一致数字なし。的中要因は次回検証対象として保留。,有効条件なし,32以上+1 / 奇数+1 / 連番+1 / 4・9・13候補+1,大きな過剰条件なし,10:外れ:出現頻度分析・コールドナンバー分析・奇数偶数分析・トリプル分析・ボーナス数字分析・マルコフ連鎖・AI改善反映予測 / 15:外れ:コールドナンバー分析・合計値分析・ペア分析・マルコフ連鎖・AI改善反映予測 / 21:外れ:出現頻度分析・ホットナンバー分析・合計値分析・マルコフ連鎖・ベイズ推定・モンテカルロシミュレーション・機械学習モデル・ランダム予測モデル・ChaminiSP God Mode・AI改善反映予測 / 24:外れ:出現頻度分析・コールドナンバー分析・奇数偶数分析・合計値分析・ペア分析・トリプル分析・機械学習モデル・ChaminiSP God Mode・AI改善反映予測 / 30:外れ:コールドナンバー分析・ボーナス数字分析・マルコフ連鎖・AI改善反映予測 / 39:外れ:コールドナンバー分析・高低分析・連番分析・マルコフ連鎖・人と被りにくい期待値最大化モデル・バランス仮説エンジン・AI改善反映予測,0.0,あり,OK,当選確率そのものを上げる目的ではなく、当選時に他人と数字が被りにくく、賞金分配リスクを下げる可能性を研究する補助モデル。,中心候補と実際の当選数字の重なりが少ない / 連番パターンを合わせきれなかった,残す候補: なし / 入れ替え候補: 10-15-21-24-30-39 / 近づける追加候補: 04-07-26-27-35-41,奇数偶数を奇数寄りに1枠調整する仮説を試す / 高低バランスを高数字寄りに寄せる / 連番を完全には除外せず、1組を許容する条件を比較する,一致数字(なし)の周辺±2を候補群として観察し、合計140前後・奇数4個・低数字2個を次回比較軸にする,0.0,,not_evaluated,not_evaluated,,,"{""balance_score"": """", ""balance_grade"": ""not_evaluated"", ""balance_reasons"": [], ""balance_warnings"": [], ""balance_not_evaluated"": true, ""balance_weights_version"": ""balance_hypothesis_v1""}",1,balance_hypothesis_v1
2117-20260702-AI-3,2117,2026/07/11,AI改善反映予測,10-15-19-25-36-42,04-07-26-27-35-41,34,0,0.0,なし,0.0,0.0,該当なし,3,-7,1,-1,10->07(-3) / 15->07(-8) / 19->26(+7) / 25->26(+1) / 36->35(-1) / 42->41(-1),予想 3:3 / 実際 4:2,予想 低3:高3 / 実際 低2:高4,-7,予想0組 / 実際1組,予想: 5が2個 / 実際: 7が2個,0,一致数字なし。的中要因は次回検証対象として保留。,有効条件なし,奇数+1 / 連番+1 / 4・9・13候補+1,大きな過剰条件なし,10:外れ:出現頻度分析・コールドナンバー分析・奇数偶数分析・トリプル分析・ボーナス数字分析・マルコフ連鎖・AI改善反映予測 / 15:外れ:コールドナンバー分析・合計値分析・ペア分析・マルコフ連鎖・AI改善反映予測 / 19:外れ:出現頻度分析・コールドナンバー分析・合計値分析・マルコフ連鎖・AI改善反映予測 / 25:外れ:コールドナンバー分析・合計値分析・連番分析・AI改善反映予測 / 36:外れ:ホットナンバー分析・奇数偶数分析・高低分析・連番分析・下一桁分析・ペア分析・トリプル分析・マルコフ連鎖・ベイズ推定・モンテカルロシミュレーション・機械学習モデル・人と被りにくい期待値最大化モデル・ChaminiSP God Mode・AI改善反映予測 / 42:外れ:出現頻度分析・ホットナンバー分析・奇数偶数分析・高低分析・ペア分析・トリプル分析・マルコフ連鎖・ベイズ推定・モンテカルロシミュレーション・機械学習モデル・人と被りにくい期待値最大化モデル・ChaminiSP God Mode・AI改善反映予測,1.0,あり,OK,当選確率そのものを上げる目的ではなく、当選時に他人と数字が被りにくく、賞金分配リスクを下げる可能性を研究する補助モデル。,中心候補と実際の当選数字の重なりが少ない / 連番パターンを合わせきれなかった,残す候補: なし / 入れ替え候補: 10-15-19-25-36-42 / 近づける追加候補: 04-07-26-27-35-41,奇数偶数を奇数寄りに1枠調整する仮説を試す / 高低バランスを高数字寄りに寄せる / 連番を完全には除外せず、1組を許容する条件を比較する,一致数字(なし)の周辺±2を候補群として観察し、合計140前後・奇数4個・低数字2個を次回比較軸にする,0.0,,not_evaluated,not_evaluated,,,"{""balance_score"": """", ""balance_grade"": ""not_evaluated"", ""balance_reasons"": [], ""balance_warnings"": [], ""balance_not_evaluated"": true, ""balance_weights_version"": ""balance_hypothesis_v1""}",1,balance_hypothesis_v1
2117-20260702-markov_chain-1,2117,2026/07/11,マルコフ連鎖,10-19-21-32-36-42,04-07-26-27-35-41,34,0,0.0,なし,0.0,0.0,該当なし,2,-20,2,-1,10->07(-3) / 19->26(+7) / 21->26(+5) / 32->35(+3) / 36->35(-1) / 42->41(-1),予想 2:4 / 実際 4:2,予想 低3:高3 / 実際 低2:高4,-20,予想0組 / 実際1組,予想: 2が2個 / 実際: 7が2個,0,一致数字なし。的中要因は次回検証対象として保留。,有効条件なし,奇数+2 / 連番+1 / 4・9・13候補+1,32以上-1 / 合計値-20,10:外れ:出現頻度分析・コールドナンバー分析・奇数偶数分析・トリプル分析・ボーナス数字分析・マルコフ連鎖 / 19:外れ:出現頻度分析・コールドナンバー分析・合計値分析・マルコフ連鎖 / 21:外れ:出現頻度分析・ホットナンバー分析・合計値分析・マルコフ連鎖・ベイズ推定・モンテカルロシミュレーション・機械学習モデル・ランダム予測モデル・ChaminiSP God Mode / 32:外れ:高低分析・ボーナス数字分析・マルコフ連鎖・ランダム予測モデル・人と被りにくい期待値最大化モデル / 36:外れ:ホットナンバー分析・奇数偶数分析・高低分析・連番分析・下一桁分析・ペア分析・トリプル分析・マルコフ連鎖・ベイズ推定・モンテカルロシミュレーション・機械学習モデル・人と被りにくい期待値最大化モデル・ChaminiSP God Mode / 42:外れ:出現頻度分析・ホットナンバー分析・奇数偶数分析・高低分析・ペア分析・トリプル分析・マルコフ連鎖・ベイズ推定・モンテカルロシミュレーション・機械学習モデル・人と被りにくい期待値最大化モデル・ChaminiSP God Mode,1.0,あり,OK,当選確率そのものを上げる目的ではなく、当選時に他人と数字が被りにくく、賞金分配リスクを下げる可能性を研究する補助モデル。,中心候補と実際の当選数字の重なりが少ない / 合計値のレンジが実際と離れた / 奇数偶数バランスが実際とずれた / 連番パターンを合わせきれなかった,残す候補: なし / 入れ替え候補: 10-19-21-32-36-42 / 近づける追加候補: 04-07-26-27-35-41,合計値の目標帯を20程度下げる検証する / 奇数偶数を奇数寄りに1枠調整する仮説を試す / 高低バランスを高数字寄りに寄せる / 連番を完全には除外せず、1組を許容する条件を比較する,一致数字(なし)の周辺±2を候補群として観察し、合計140前後・奇数4個・低数字2個を次回比較軸にする,0.0,,not_evaluated,not_evaluated,,,"{""balance_score"": """", ""balance_grade"": ""not_evaluated"", ""balance_reasons"": [], ""balance_warnings"": [], ""balance_not_evaluated"": true, ""balance_weights_version"": ""balance_hypothesis_v1""}",1,balance_hypothesis_v1
